"total_pop","county_fips_code","commuters_by_public_transportation","commuters_by_car_truck_van","commuters_by_subway_or_elevated","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","two_or_more_races_pop","not_hispanic_pop","median_income","median_age","families_with_young_children","high_school_diploma","bachelors_degree","graduate_professional_degree","bachelors_degree_or_higher_25_64","confirmed_cases","deaths","total_population","area_sqmi","population_density_per_sqmi","percent_below_poverty","percent_unemployed_CDC","eightieth_percentile_income","twentieth_percentile_income","income_ratio","stay_at_home_announced","stay_at_home_effective","date_stay_at_home_announced","percent_fair_or_poor_health","percent_smokers","percent_adults_with_obesity","percent_physically_inactive","percent_with_access_to_exercise_opportunities","percent_excessive_drinking","percent_adults_with_diabetes","percent_vaccinated","date","lat","lon"
10639,48159,18,3804,0,8468,481,5,1479,57,0,137,9160,43967,42.9,717,1775,1031,392,865,565,16,10571,284.391268673314,37.1706207764878,16.8,6.5,100082,22318,4.4843623981,"no","no","2020-03-31",16.630940258,14.262096896,36.9,34.3,7.5153229609,17.93325704,13.7,49,2020-03-29,33.1755311569528,-95.2184416195212
2257,48109,0,861,0,392,8,6,1821,0,0,30,436,33125,41.2,191,441,104,37,95,294,4,2259,3812.15475867851,0.592578251147151,23.8,4.6,65450,16000,4.090625,"yes","yes","2020-03-31",35.180833929,18.542606778,35,25.1,93.077564637,13.760502881,15.4,14,2020-06-20,31.4470722561989,-104.517329553043
3348,48417,0,1403,0,2867,6,6,391,10,0,68,2957,46685,42,273,469,449,163,455,187,1,3323,914.285387720112,3.63453254818643,18.5,4.9,84158,18785,4.4800638808,"yes","yes","2020-03-31",16.495128621,14.398259877,28.1,25.1,79.662522202,18.238998748,7.7,45,2020-05-07,32.735954171452,-99.354054617285
3753,48275,0,1381,0,2228,225,6,1255,5,0,34,2498,46319,40.6,333,742,383,119,355,207,12,3807,850.624807720386,4.47553370821913,14.7,5.4,90741,20517,4.4227226203,"yes","yes","2020-03-31",19.60260266,14.596867712,24.8,21.8,39.338531863,17.871021682,7.5,13,2020-04-07,33.6061292283229,-99.7414552485281
5599,48483,0,2370,0,3825,150,7,1485,6,0,113,4114,50910,39.4,424,981,429,119,395,431,9,5642,914.522574425834,6.16933923532967,17.2,5.4,98346,21180,4.6433427762,"yes","yes","2020-03-31",19.00447502,15.330999713,25.9,24.9,62.883548983,17.627165783,6.3,36,2020-04-22,35.4012180512429,-100.269776446385
11246,48379,0,4157,0,9653,172,9,973,109,0,330,10273,48308,47.6,772,2529,601,283,595,632,20,11087,229.452915093732,48.3192815200057,10.7,6.6,92608,22069,4.1962934433,"yes","yes","2020-03-31",16.000223471,14.303197822,30.8,20.6,51.850833791,17.57803524,26.3,38,2020-04-10,32.8703561931025,-95.7933968402115
3575,48461,5,1313,0,1537,238,9,1778,4,3,6,1797,52750,33.7,397,695,145,102,168,286,7,3475,1241.3220230673,2.79943474410717,20.4,4.5,104063,21346,4.875058559,"yes","yes","2020-03-31",21.696459044,14.404818284,24,21.5,65.871833085,18.546288917,7.1,20,2020-06-19,31.3688033620005,-102.043159846069
7418,48283,0,2487,0,1308,92,10,5928,0,0,80,1490,44601,33.9,591,1539,548,222,540,814,15,7319,1486.70341362209,4.92297248593016,13.2,8.4,80443,18138,4.4350534789,"yes","yes","2020-03-31",27.677836159,14.495445635,29.5,24.6,0.3775776939,19.272072511,9.1,24,2020-04-16,28.3451506552035,-99.0995941527763
10429,48403,8,2914,0,8977,789,10,422,0,52,179,10007,33561,52.1,539,2812,749,410,674,452,28,10367,491.407369518234,21.0965497122349,23.2,8.3,78188,16966,4.6085111399,"yes","yes","2020-03-31",19.244590381,16.001867285,32.4,27.3,84.705556581,14.931138839,8.6,40,2020-04-09,31.3432325630682,-93.8517249344394
8839,48237,0,2901,0,6889,395,11,1439,33,12,60,7400,52829,40.6,537,2005,415,281,511,530,12,8866,910.665031274344,9.7357422274064,17.2,4.7,105500,20954,5.034838217,"yes","yes","2020-03-31",17.316867651,15.488605028,32.8,28.7,60.382574082,19.928416778,6.4,34,2020-04-09,33.2334688738586,-98.1724822473021
7510,48175,0,2623,0,4401,400,12,2675,0,0,22,4835,56737,46.4,501,1515,603,317,630,299,9,7463,852.010737451772,8.75927928129244,16.9,9.8,123000,19128,6.4303638645,"yes","yes","2020-03-31",19.147914104,14.273327131,28,29.9,58.418862691,17.442154911,8,38,2020-04-02,28.657090679436,-97.4264547712951
14187,48351,24,4598,0,10442,3024,12,490,28,0,191,13697,40180,43.5,849,4142,668,204,635,469,20,14138,933.676700435692,15.1422863967823,16.2,14.2,93322,17656,5.2855686452,"yes","no","2020-03-31",16.906913997,15.319755978,36.4,27.8,11.152647975,18.064015234,12.3,34,2020-04-01,30.7862593368716,-93.7448021113498
12530,48343,13,4578,0,8159,2953,13,1148,46,0,203,11382,40227,42.9,777,2866,893,529,1087,672,15,12653,251.984723562012,50.2133614337385,18.6,12.9,81088,18644,4.3492812701,"no","no","2020-03-31",18.111099272,15.090974965,38.4,32.5,37.83825576,16.78288879,11.3,43,2020-03-23,33.1134725169253,-94.7326447920381
4152,48211,0,1731,0,2568,31,13,1461,16,0,63,2691,68679,35.1,305,541,482,83,364,451,2,4151,906.28564926204,4.58023361991887,11.8,4.5,114000,28090,4.0583837665,"yes","yes","2020-03-31",17.527179252,13.898045766,31.8,28.8,85.657998424,19.327670293,8.2,34,2020-04-04,35.8375478972026,-100.270614094508
7541,48437,6,2308,0,3584,429,14,3253,41,13,202,4288,37883,35.6,630,1447,507,146,482,682,14,7639,890.15920540591,8.58161096757589,23.4,5.1,78380,16857,4.6497004212,"no","no","2020-03-31",25.073724278,16.792980833,24.2,30,54.023427553,16.657759012,6.5,23,2020-03-29,34.5303994774098,-101.735003001031
20913,48089,101,8815,0,11918,2727,14,6045,30,0,179,14868,50241,43.4,1379,4618,2137,551,1925,1251,17,20792,960.294217874056,21.6516975870482,14,3.3,98213,23587,4.1638614491,"yes","no","2020-03-31",18.711823852,13.387590158,26.8,32.5,57.492574495,17.349865638,10.3,31,2020-04-01,29.6208270324818,-96.526274257448
5953,48153,19,2146,0,2258,149,15,3440,12,0,79,2513,48767,37.1,452,800,489,176,453,631,25,6088,992.142091538152,6.13621783807354,22,7.6,81963,18307,4.4771398918,"yes","yes","2020-03-31",25.313393562,15.105742551,34.6,22.3,82.842072603,16.118053545,9.3,37,2020-04-08,34.0724328161038,-101.303243595094
5785,48305,2,2226,0,2853,77,15,2728,27,0,85,3057,44922,38.1,460,1008,523,123,512,571,18,5723,891.86660250419,6.41687891881018,19.8,11.1,106231,17797,5.9690397258,"no","no","2020-03-31",23.562188317,15.659791772,28.5,25.4,23.043110735,16.871932566,15.9,31,2020-03-28,33.1768407409032,-101.816132721074
3102,48191,0,1051,0,1760,231,15,1060,3,0,33,2042,31324,43.2,122,516,167,97,180,353,11,3162,883.491577921444,3.57898148552713,28.7,9.1,74083,14896,4.9733485499,"yes","yes","2020-03-31",28.068875163,18.762493013,26.1,26.9,42.618550552,13.875493326,11.9,25,2020-05-20,34.5307918871318,-100.681117659575
8220,48193,0,3124,0,6994,55,16,987,58,0,110,7233,46611,46.4,505,1659,982,354,887,546,21,8232,835.914049704578,9.8479024283768,14.8,4.9,100306,19732,5.0834177985,"yes","yes","2020-03-31",17.370285117,14.493903626,25.1,28.2,46.178231772,17.318551869,15.9,19,2020-04-07,31.7048222710683,-98.110709246327
15051,48255,6,5105,0,5684,1316,16,7965,15,0,55,7086,53051,35.3,939,2725,1031,378,1026,1387,26,14984,747.566671533772,20.0436971986158,24,4,113407,19301,5.875705922,"no","no","2020-03-31",22.901823829,15.513644048,28.6,20.9,50.836481382,20.096810665,3.5,43,2020-03-26,28.9057344295796,-97.8593895107291
3433,48129,0,1249,0,2809,126,16,365,23,0,94,3068,44429,41.9,228,607,290,136,244,289,8,3506,926.885716837144,3.78255909689027,15,4.9,87000,20909,4.160887656,"yes","yes","2020-03-31",16.672821332,13.943192478,28.4,22.6,77.8895839,18.083411784,11.5,21,2020-04-02,34.9654505941284,-100.813992600243
19406,48337,46,7279,0,16748,41,19,2072,50,0,476,17334,46592,44,1266,4068,1461,747,1442,1713,46,19384,930.905286534628,20.8227413469297,16.1,6,102344,22086,4.6338857195,"no","no","2020-03-31",16.704961302,15.19165216,30.6,32.9,41.072062478,17.586950303,12.4,26,2020-03-27,33.675688961316,-97.7246475390931
3990,48197,0,1604,0,2738,277,19,850,16,0,90,3140,37995,43.6,180,733,301,103,301,319,9,3952,695.113865795474,5.68539946398194,15.5,5.7,81808,18506,4.4206203393,"yes","yes","2020-03-31",18.787607519,14.989436422,32.4,31.6,34.211162116,17.463769166,8.6,35,2020-05-23,34.2902550211579,-99.7456978836053
3875,48151,0,1573,0,2575,111,19,1156,0,0,10,2719,45294,44,250,708,368,125,352,266,10,3847,898.940706977298,4.27948136082923,19.8,6.8,97521,20207,4.8260998664,"yes","yes","2020-03-31",18.609441203,13.446334601,23.3,21.6,3.6487166583,17.143556863,7.6,9,2020-05-15,32.7428185662215,-100.402194445457
10484,48357,0,4343,0,4662,18,20,5553,69,0,162,4931,50120,31.7,985,1523,849,282,924,965,19,10577,917.684184166404,11.52575165018,12.6,4.8,99488,24062,4.1346521486,"yes","yes","2020-03-31",20.86742026,14.624651397,24.4,39.5,88.310672014,19.679463046,18.7,33,2020-04-24,36.2783639576754,-100.815672367669
