total_pop,county_fips_code,commuters_by_public_transportation,commuters_by_car_truck_van,commuters_by_subway_or_elevated,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,median_income,median_age,families_with_young_children,high_school_diploma,bachelors_degree,graduate_professional_degree,bachelors_degree_or_higher_25_64,confirmed_cases,deaths,total_population,area_sqmi,population_density_per_sqmi,percent_below_poverty,percent_unemployed_CDC,eightieth_percentile_income,twentieth_percentile_income,income_ratio,stay_at_home_announced,stay_at_home_effective,date_stay_at_home_announced,percent_fair_or_poor_health,percent_smokers,percent_adults_with_obesity,percent_physically_inactive,percent_with_access_to_exercise_opportunities,percent_excessive_drinking,percent_adults_with_diabetes,percent_vaccinated,date,lat,lon
5532,48195,9,2183,0,2950,4,0,2569,6,0,3,2963,40678,34.9,451,718,426,117,399,673,17,5552,919.8095,6.0360325,20.0,2.5,83438,21161,3.943008,yes,yes,2020-03-31,24.09282,16.33528,25.0,21.9,87.6892927,17.24832,6.4,29,2020-04-07,36.27744,-101.35458
1084,48433,0,418,0,787,38,0,246,0,0,13,838,46786,51.9,75,273,71,28,74,134,4,1233,916.3122,1.3456112,18.9,6.9,101500,18250,5.561644,yes,yes,2020-03-31,17.358,13.46802,26.9,23.0,53.0872483,16.5449,7.5,12,2020-07-18,33.17919,-100.25338
2932,48079,7,1130,0,1104,77,0,1672,6,0,73,1260,37500,33.5,272,468,125,67,138,216,12,2955,775.0819,3.8125001,19.6,7.0,91417,14632,6.247745,yes,yes,2020-03-31,29.51378,17.98534,25.2,22.2,47.5215862,15.39152,16.7,21,2020-04-23,33.60418,-102.82851
3836,48105,0,1673,0,1264,35,0,2537,0,0,0,1299,52310,35.5,406,733,166,53,149,472,13,3836,2807.3226,1.3664265,22.7,2.8,108737,21040,5.168108,yes,yes,2020-03-31,21.74686,12.93194,27.1,21.7,18.311374,17.33939,5.1,23,2020-06-05,30.72309,-101.41206
8145,48307,2,3281,0,5067,161,0,2571,1,202,143,5574,42367,43.5,589,1597,671,261,556,467,12,8242,1065.601,7.7346025,18.4,4.2,82214,18534,4.435848,yes,yes,2020-03-31,20.1542,14.43336,35.0,31.7,53.9901002,17.00149,13.1,23,2020-04-09,31.19888,-99.34754
3067,48421,7,1458,0,1712,8,0,1327,7,0,13,1740,54961,39.8,230,410,340,105,357,118,11,3069,923.0352,3.3249003,13.6,1.0,105000,27500,3.818182,yes,yes,2020-03-31,18.58456,13.42591,27.7,27.2,37.6071193,19.10179,4.2,36,2020-04-16,36.27773,-101.89345
289,48269,0,158,0,212,0,0,77,0,0,0,212,56964,32.7,23,56,30,11,38,11,0,274,910.8721,0.3008106,3.3,4.1,112900,35786,3.154865,yes,yes,2020-03-31,17.41465,17.41465,22.7,20.7,71.2278558,16.68972,11.2,29,2020-10-13,33.61655,-100.25585
1591,48045,0,602,0,964,27,0,513,0,0,15,1008,42500,46.4,84,268,197,63,168,114,7,1672,900.5631,1.7322495,25.0,5.9,64359,15222,4.228025,yes,yes,2020-03-31,21.87081,15.7592,21.6,28.5,84.1860465,25.9,9.1,41,2020-04-27,34.53028,-101.20856
